track_title,album,release_year,song_id,genius_url,source_artist,target_artist,role
BEG FORGIVENESS (The Inter Milan Ultras Version),,,10305956,https://genius.com/Kanye-west-and-ty-dolla-sign-beg-forgiveness-the-inter-milan-ultras-version-lyrics,"¥$, Kanye West & Ty Dolla $ign",Chris Brown,featured
BEHOLD,,,13676846,https://genius.com/Ye-behold-lyrics,Ye,The World Famous Tony Williams,featured
BET BackRoom Freestyle,,2014.0,595752,https://genius.com/Lil-dicky-bet-backroom-freestyle-lyrics,Lil Dicky,BET,featured
BET Uncut,,2020.0,6055105,https://genius.com/Madeintyo-bet-uncut-lyrics,MadeinTYO,Chance the Rapper,featured
BETTER!,,2021.0,7428081,https://genius.com/Frank-overby-better-lyrics,Frank Overby,James Blake,featured
BICK Hedi Slimane TTA P5,,,8588480,https://genius.com/Digital-nas-bick-hedi-slimane-tta-p5-lyrics,Digital Nas,Kanye West,featured
BIG BROTHERS,,2026.0,12978328,https://genius.com/Hassan-khaffaf-big-brothers-lyrics,Hassan Khaffaf,Ye,featured
BIG BROTHERS,,2026.0,12978328,https://genius.com/Hassan-khaffaf-big-brothers-lyrics,Hassan Khaffaf,Dame Dash,featured
BIG EVERYTHING,,2023.0,9741827,https://genius.com/Busta-rhymes-big-everything-lyrics,Busta Rhymes,DaBaby,featured
BIG EVERYTHING,,2023.0,9741827,https://genius.com/Busta-rhymes-big-everything-lyrics,Busta Rhymes,T-Pain,featured
BIG EVERYTHING (Slowed & Reverb),,2024.0,11090595,https://genius.com/Busta-rhymes-big-everything-slowed-and-reverb-lyrics,Busta Rhymes,DaBaby,featured
BIG EVERYTHING (Slowed & Reverb),,2024.0,11090595,https://genius.com/Busta-rhymes-big-everything-slowed-and-reverb-lyrics,Busta Rhymes,T-Pain,featured
BIG EVERYTHING (Sped Up),,2024.0,11091260,https://genius.com/Busta-rhymes-big-everything-sped-up-lyrics,Busta Rhymes,DaBaby,featured
BIG EVERYTHING (Sped Up),,2024.0,11091260,https://genius.com/Busta-rhymes-big-everything-sped-up-lyrics,Busta Rhymes,T-Pain,featured
BIG TYME,,2019.0,4671351,https://genius.com/Rick-ross-big-tyme-lyrics,Rick Ross,Swizz Beatz,featured
BIRDS AND ANGELS,,,12685498,https://genius.com/Dylnmbry-birds-and-angels-lyrics,DYLNMBRY,James Blake,featured
BLOW MY LOAD,,2015.0,748249,https://genius.com/Tyler-the-creator-blow-my-load-lyrics,"Tyler, The Creator",Syd,featured
BROKEN ROAD,,2025.0,7667906,https://genius.com/Ye-broken-road-lyrics,Ye,Don Toliver,featured
BROKEN ROAD (Digital Nas Version),,,11537461,https://genius.com/Ye-broken-road-digital-nas-version-lyrics,Ye,Don Toliver,featured
BROTHER STONE,,2024.0,10517220,https://genius.com/Don-toliver-brother-stone-lyrics,Don Toliver,Kodak Black,featured
BULLY V1,,2025.0,12968058,https://genius.com/Kanye-west-bully-v1-lyrics,Kanye West,Playboi Carti,featured
BULLY V1,,2025.0,12968058,https://genius.com/Kanye-west-bully-v1-lyrics,Kanye West,Ty Dolla $ign,featured
BURBS (Original),,,11660204,https://genius.com/Nav-burbs-original-lyrics,NAV,Travis Scott,featured
BURN EVERYTHING,,2022.0,8083202,https://genius.com/Sean-leon-burn-everything-lyrics,Sean Leon,Ye,featured
Baba O’Riley,,,784613,https://genius.com/Sinead-oconnor-baba-oriley-lyrics,Sinéad O’Connor,The Chieftains,featured
Babe,,2018.0,3646550,https://genius.com/Sugarland-babe-lyrics,Sugarland,Taylor Swift,featured
Babies Cry,,2015.0,2313674,https://genius.com/Rick-ross-babies-cry-lyrics,Rick Ross,Rockie Fresh,featured
Baby,,2011.0,3024543,https://genius.com/Taylor-swift-baby-lyrics,Taylor Swift,Justin Bieber,featured
Baby (feat. Ludacris),,2010.0,13721889,https://genius.com/Justin-bieber-baby-feat-ludacris-lyrics,Justin Bieber,Ludacris,featured
Baby - Freestyle,,2003.0,3547219,https://genius.com/Jay-z-baby-freestyle-lyrics,JAŸ-Z,Beyoncé,featured
Baby Boy,,2003.0,81345,https://genius.com/Beyonce-baby-boy-lyrics,Beyoncé,Sean Paul,featured
Baby Boy (Junior’s Padapella),,2003.0,7299551,https://genius.com/Beyonce-baby-boy-juniors-padapella-lyrics,Beyoncé,Sean Paul,featured
